"date_sample","month_sample","year_sample","site_ID","analyte","analyte_value","value_units","lat","lng"
2021-01-01,1,2021,"173 SYS","Fluoride",0.443,"MG/L",32.67250556,-117.0612583
2021-01-02,1,2021,"55A SYS","Fluoride",0.615,"MG/L",32.84008333,-117.1750583
2021-01-03,1,2021,"174 SYS","Fluoride",0.589,"MG/L",32.77695833,-117.1255056
2021-01-04,1,2021,"313 SYS","Fluoride",0.576,"MG/L",33.00098333,-117.0791806
2021-01-05,1,2021,"67 SYS","Fluoride",0.667,"MG/L",33.01172778,-117.0601222
2021-01-06,1,2021,"215 SYS","Fluoride",0.605,"MG/L",32.81157778,-117.2400694
2021-01-07,1,2021,"251 SYS","Fluoride",0.624,"MG/L",32.81846111,-117.2635389
2021-01-08,1,2021,"171 SYS","Fluoride",0.616,"MG/L",32.71578333,-117.0570111
2021-01-09,1,2021,"208A SYS","Fluoride",0.564,"MG/L",32.78936667,-117.0681972
2021-01-10,1,2021,"50A SYS","Fluoride",0.59,"MG/L",32.79343056,-117.1249222
2021-01-11,1,2021,"304 SYS","Fluoride",0.529,"MG/L",32.98470556,-117.1638333
2021-01-12,1,2021,"229 SYS","Fluoride",0.629,"MG/L",32.940875,-117.2294861
2021-01-13,1,2021,"206 SYS","Fluoride",0.56,"MG/L",32.72560556,-117.2445722
2021-01-14,1,2021,"277A SYS","Fluoride",0.539,"MG/L",32.94198611,-117.151625
2021-01-15,1,2021,"205 SYS","Fluoride",0.44,"MG/L",32.68731944,-117.0237556
2021-01-16,1,2021,"155 SYS","Fluoride",0.701,"MG/L",32.76293611,-117.1063861
2021-01-17,1,2021,"242 SYS","Fluoride",0.632,"MG/L",32.81323889,-117.0177694
2021-01-18,1,2021,"249A SYS","Fluoride",0.585,"MG/L",32.77602778,-117.1790361
2021-01-19,1,2021,"131 SYS","Fluoride",0.379,"MG/L",32.55273333,-117.0441611
2021-01-20,1,2021,"49A SYS","Fluoride",0.561,"MG/L",32.89457222,-117.23975
2021-01-21,1,2021,"184 SYS","Fluoride",0.558,"MG/L",32.93946111,-117.07415
2021-01-22,1,2021,"78A SYS","Fluoride",0.586,"MG/L",32.83556389,-117.096575
2021-01-23,1,2021,"281 SYS","Fluoride",0.582,"MG/L",32.81230556,-117.0481472
2021-01-24,1,2021,"150 SYS","Fluoride",0.579,"MG/L",32.76067222,-117.0635778
2021-01-25,1,2021,"259 SYS","Fluoride",0.583,"MG/L",32.748825,-117.1837944
2021-01-26,1,2021,"138A SYS","Fluoride",0.571,"MG/L",32.72874444,-117.2105111
2021-01-27,1,2021,"218 SYS","Fluoride",0.616,"MG/L",32.83901667,-117.2504306
2021-01-28,1,2021,"284 SYS","Fluoride",0.43,"MG/L",32.57711944,-117.0230361
